ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
226,0.6797317669930993,4,4.0,32.02682330069007,CRITICAL
227,0.7004639267582157,20,20.0,29.95360732417843,CRITICAL
228,0.6796518254784082,12,12.0,32.03481745215918,CRITICAL
229,0.6575932777137911,9,9.0,34.240672228620895,CRITICAL
23,0.7395488584462401,8,8.0,26.04511415537599,CRITICAL
230,0.6596383270898089,5,5.0,34.03616729101911,CRITICAL
231,0.6680591494398336,4,4.0,33.19408505601664,CRITICAL
232,0.6721539077227202,3,3.0,32.78460922772798,CRITICAL
233,0.644455707654227,4,4.0,35.5544292345773,CRITICAL
234,0.6360431970834624,3,2.0,36.39568029165376,CRITICAL
235,0.6545096542781044,3,3.0,34.54903457218956,CRITICAL
236,0.6402574493883552,6,6.0,35.974255061164484,CRITICAL
237,0.6650909480150821,4,4.0,33.490905198491795,CRITICAL
238,0.6862003781194422,6,6.0,31.379962188055778,CRITICAL
239,0.7024056271254534,11,11.0,29.75943728745466,CRITICAL
24,0.7224816491015976,8,8.0,27.751835089840238,CRITICAL
240,0.7291773159490376,4,4.0,27.082268405096244,CRITICAL
241,0.6952628031010787,6,6.0,30.473719689892132,CRITICAL
242,0.7200189206431824,7,7.0,27.99810793568176,CRITICAL
243,0.6488660019082748,1,1.0,35.11339980917252,CRITICAL
244,0.7207630765178279,4,4.0,27.92369234821721,CRITICAL
245,0.6872759421022255,5,5.0,31.272405789777448,CRITICAL
246,0.6955987469800471,3,3.0,30.44012530199529,CRITICAL
247,0.680839724685487,6,6.0,31.916027531451295,CRITICAL
248,0.6643926687011783,4,4.0,33.560733129882166,CRITICAL
249,0.6197516538607174,1,1.0,38.02483461392826,CRITICAL
25,0.7480251174313232,29,29.0,25.197488256867683,CRITICAL
250,0.6641175911209501,1,1.0,33.58824088790499,CRITICAL
251,0.641587512110356,8,8.0,35.8412487889644,CRITICAL
252,0.6664879064393601,3,3.0,33.35120935606399,CRITICAL
253,0.6647780882576525,3,3.0,33.52219117423475,CRITICAL
254,0.6566316376518537,4,4.0,34.336836234814626,CRITICAL
255,0.667409885684115,3,3.0,33.259011431588505,CRITICAL
256,0.6759313560907554,5,5.0,32.40686439092446,CRITICAL
257,0.6680649948220936,2,2.0,33.19350051779064,CRITICAL
258,0.6863526412855454,6,6.0,31.36473587144546,CRITICAL
259,0.6746561914118796,2,2.0,32.53438085881204,CRITICAL
26,0.7466996864387752,48,48.0,25.330031356122483,CRITICAL
260,0.6702170193252668,2,2.0,32.97829806747332,CRITICAL
261,0.6952881361911075,8,8.0,30.471186380889247,CRITICAL
262,0.6897985442690298,4,4.0,31.020145573097025,CRITICAL
263,0.7030591996918432,11,11.0,29.694080030815684,CRITICAL
264,0.7008236889088467,14,14.0,29.917631109115327,CRITICAL
265,0.7063699062837232,8,8.0,29.36300937162768,CRITICAL
266,0.6895937125965457,5,5.0,31.040628740345433,CRITICAL
268,0.6893841515011976,4,4.0,31.06158484988024,CRITICAL
269,0.6635339123788605,5,5.0,33.64660876211395,CRITICAL
27,0.8176308073297107,174,174.0,18.236919267028927,CRITICAL
270,0.6844432563029696,2,2.0,31.555674369703034,CRITICAL
271,0.6964626649741514,10,10.0,30.353733502584856,CRITICAL
272,0.6851260770251462,29,28.0,31.487392297485385,CRITICAL
28,0.8430503286832106,226,226.0,15.694967131678938,CRITICAL
29,0.8359875983974772,142,142.0,16.401240160252286,CRITICAL
3,0.770981675691629,180,180.0,22.9018324308371,CRITICAL
30,0.8172880504527061,204,204.0,18.271194954729385,CRITICAL
31,0.7679398061406589,7,7.0,23.206019385934106,CRITICAL
32,0.7480704615358696,16,16.0,25.192953846413037,CRITICAL
33,0.7675336374995435,3,3.0,23.24663625004565,CRITICAL
34,0.7888904609583872,20,20.0,21.110953904161278,CRITICAL
35,0.7690388943981575,11,11.0,23.096110560184247,CRITICAL
36,0.7567908822060518,3,3.0,24.320911779394816,CRITICAL
37,0.7253130138359812,3,3.0,27.468698616401877,CRITICAL
38,0.7322898768740277,1,1.0,26.771012312597232,CRITICAL
39,0.7268509172198292,3,3.0,27.31490827801708,CRITICAL
4,0.7767063776933708,217,217.0,22.32936223066292,CRITICAL
